"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Amadou Balake";"The original sound of Burkina Faso";"Whisky et Coca-Cola";"1982";"MR BONGO";1735282140;1735282470;;;
"Van Morrison";"What's wrong with this picture ?";"Stop drinking";"2003";"BLUE NOTE";1735282469;1735282670;"https://music.apple.com/fr/album/stop-drinking/1030925266?i=1030925280&uo=4";"https://open.spotify.com/track/5nkRkVyhru0RlVQjyc1SlN";
"Ella Fitzgerald";"Ella abraça Jobim";"Water To Drink (Agua de Beber)";"1981";"CARRERE";1735282669;1735282830;"https://music.apple.com/fr/album/water-to-drink-%C3%A1gua-de-beber/1442977273?i=1442977693&uo=4";"https://open.spotify.com/track/42BDhBTkETjMnOUdO9If2y";
"The Mohawks";"The champ";"Pepsi";"1968";"VAMPISOUL";1735282829;1735283030;"https://music.apple.com/fr/album/pepsi/1592708095?i=1592708103&uo=4";;"https://www.deezer.com/track/126809117"
"Robert Finley";"Goin' Platinum";"Medicine woman";"2017";"EASY EYE SOUND";1735283029;1735283185;"https://music.apple.com/fr/album/medicine-woman/1289311966?i=1289311975&uo=4";"https://open.spotify.com/track/3S9rZU1GDPhs8WNDv5HQSs";
"Yo & The South";"Orange";"L'histoire est belle";"2021";"AUTOPRODUCTION";1735283183;1735283407;;;
"The Smile";"Foreign spies / Zero sum";"Foreign spies";"2024";"XL RECORDINGS";1735283405;1735283693;"https://music.apple.com/fr/album/foreign-spies/1758065392?i=1758065395&uo=4";"https://open.spotify.com/track/3PNxuJaIuJ6K6zTvQoIxXQ";
"Kyle Dixon";"BOF TV / Stranger things (Vol.1)";"Stranger things (Vol.1) : Kids";"2016";"LAKESHORE RECORDS";1735283689;1735283846;;;
"MGMT";"Oracular spectacular";"Kids";"2008";"COLUMBIA";1735283844;1735284145;;"https://open.spotify.com/track/7xELyh74BAno0c57cfpnRZ";"https://www.deezer.com/track/536485"
"Polibio Mayorga";"Ecuatoriana";"Panuelo de seda";"1976";"ANALOG AFRICA";1735284143;1735284280;"https://music.apple.com/fr/album/pa%C3%B1uelo-de-seda/1667260660?i=1667260663&uo=4";;
"Roberta Gambarini";"Emergence";"La Puerta";"2009";"EMARCY";1735284279;1735284485;;;
"Cecile Mac Lorin Salvant";"Mélusine";"Il m'a vue nue";"2023";"NONESUCH";1735284483;1735284649;;;
