"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Pierre Daven-Keller";"Kino music";"Daiquiri";"KWAIDAN";1709336122;1709336297;2019;;"https://www.deezer.com/track/999342172";"https://open.spotify.com/track/1WDMKdB7M7oUbkk8EfVGyw"
"The Mac Crarys";"Loving is living / On the other side";"On the other side";"FUNKY TOWN GROOVES";1709336294;1709336515;1979;;;
"Minnie Riperton";"Perfect angel / Adventures in paradise";"Love and its glory";"STATESIDE";1709336515;1709336825;1975;;;
"Fleetwood Mac";"Rumours";"Dreams";"WARNER";1709336815;1709337072;1977;"https://music.apple.com/fr/album/dreams/594061854?i=594061856&uo=4";;
"La Bibliotheque De La Bergerie";"La Bibliothèque de la Bergerie";"Loterie solaire";"FREAKSVILLE RECORDS";1709337071;1709337312;2023;"https://music.apple.com/fr/album/loterie-solaire/1688499930?i=1688500177&uo=4";"https://www.deezer.com/track/2286689447";"https://open.spotify.com/track/0aVRVGMT5ucMvB3yMnr8iU"
"Oswela";"Moun péyi";"Moun péyi";"BEAT X CHANGERS";1709337309;1709337571;2023;"https://music.apple.com/fr/album/moun-p%C3%A9yi/1718922275?i=1718922282&uo=4";;"https://open.spotify.com/track/1qU1dEr31XIqOZNWdSuOoT"
"Krisy";"Euphoria";"Au revoir, lucy";"LE JEUNE CLUB / SYNDICATE RECORDS";1709337561;1709337770;2023;"https://music.apple.com/fr/album/au-revoir-lucy/1704001327?i=1704003631&uo=4";"https://www.deezer.com/track/2536166631";"https://open.spotify.com/track/4he76trzMCZIhS5T4vsBIX"
"Thundercat";"Apocalypse";"Evangelion";"BRAINFEEDER";1709337782;1709337920;2013;"https://music.apple.com/fr/album/evangelion/641465562?i=641465717&uo=4";;"https://open.spotify.com/track/4DMbezd5clCXeiA6yXREwV"
"Blossom Dearie";"Blossom Dearie Sings";"Sunday afternoon (Alternate Version)";"DAFFODIL RECORDS";1709337899;1709338122;1974;;;
"Michel Petrucciani";"Michel Petrucciani : Marvellous";"Charlie Brown";"DREYFUS";1709338114;1709338276;1994;;;"https://open.spotify.com/track/0XpW2I5Scuk7UxGbfZWmsN"
"Feist";"Let it die";"Gatekeeper (Full Mix)";"POLYDOR";1709338275;1709338436;2005;"https://music.apple.com/fr/album/gatekeeper-full-mix/1444403356?i=1444403359&uo=4";;
"Bernarda Fink";"Canciones argentinas";"Tropilla de estrellas - pour mezzo-soprano baryton-basse et piano";"HARMONIA MUNDI";1709338443;1709338608;2006;;;
"The Beach Boys";"Smiley smile / Wild honey";"Let the wind blow";"NONESUCH";1709338601;1709338738;1967;;;
"Supergrass";"I should coco";"Alright";"PARLOPHONE";1709338738;1709338916;1995;;"https://www.deezer.com/track/3152010";"https://open.spotify.com/track/5CQvKyzkWI7TnUu2oB9QZ0"
"Limousine";"Siam roads";"Boonghusa";"EKLER O SHOCK";1709338911;1709339275;2014;;;"https://open.spotify.com/track/4m9aL5NIesBxhySeYRWXvW"
"Melanie";"Cri d'amour";"Nausica";"COMET RECORDS";1709339281;1709339463;2022;"https://music.apple.com/fr/album/nausica/1646813195?i=1646813579&uo=4";;"https://open.spotify.com/track/6r74G0h5cCoOzWINmwwNS4"
