"Artist";"Album";"Song";"start";"end";"itunes";"spotify";"Year";"Label";"deezer";"youtube"
"Matt Berry";"The blue elephant";"Like stone";1705559025;1705559198;;"https://open.spotify.com/track/1bEwInCCDd6HXwehLnGyyz";2021;"ACID JAZZ UK";;
"Katy Kirby";"Blue raspberry";"Hand to hand";1705559188;1705559409;"https://music.apple.com/fr/album/hand-to-hand/1709513158?i=1709513168&uo=4";"https://open.spotify.com/track/7i4onkA2fRuV0viFNWINID";2024;"ANTI RECORDS";;
"Felbm";"Tape 1 / Tape2";"Birkach";1705559401;1705559494;"https://music.apple.com/fr/album/birkach/1611709364?i=1611709606&uo=4";"https://open.spotify.com/track/2PaGGATxr2P6dey4oJFqQi";2018;"SOUNDWAY RECORDS";;
"Trio Mocoto";"Voltei amor";"Voltei amor";1705559492;1705559701;"https://music.apple.com/fr/album/voltei-amor/1666629368?i=1666629371&uo=4";"https://open.spotify.com/track/2xhOOvNM9pviMdz1xOYHgX";2001;"CRAMMED";;
"Ann Sorel";"Ann Sorel";"La poupée des favella";1705559698;1705559864;;;1969;"DISC AZ";;
"Little Joy";"Little joy";"The next time around";1705559860;1705560021;"https://music.apple.com/fr/album/the-next-time-around/293921670?i=293921674&uo=4";"https://open.spotify.com/track/1sVofDFRS2PXenJM39B7rQ";2008;"ROUGH TRADE RECORDS";;
"The Ventures";"U.S.A.";"Windy and warm";1705560012;1705560155;"https://music.apple.com/fr/album/windy-and-warm/1444114461?i=1444114594&uo=4";"https://open.spotify.com/track/0FWuD5QzJvFWYlqdqun7LS";1963;"EMI";"https://www.deezer.com/track/108872860";
"Julie London";"Julie London";"Black coffee";1705560155;1705560337;;"https://open.spotify.com/track/287zpLsudFQMlehnH2JnWI";1960;"CAPITOL";;
"L Affaire Louis Trio";"Le meilleur de l'affaire";"Bois ton café";1705560334;1705560495;;;1988;"BARCLAY";;
"Yard Act";"Dream job";"Dream job";1705560494;1705560658;"https://music.apple.com/fr/album/dream-job/1712518914?i=1712519259&uo=4";"https://open.spotify.com/track/5jZ0Q2yRYnI961sJbyWlK0";2023;"UNIVERSAL ISLAND RECORDS";;
"Miranda Joan";"Bada bing ! (feat. Carrtoons)";"Bada bing ! (feat. Carrtoons)";1705560657;1705560840;;;2023;"GLOW ARTISTS";;
"Madone";"Pink & red";"Ray of joy";1705560837;1705561000;"https://music.apple.com/fr/album/ray-of-joy/1596584880?i=1596585006&uo=4";"https://open.spotify.com/track/5Xb8WwIUVGvGs1EkHZQYSS";2021;"FREE HAND PUBLISHING";;
"Judee Sill";"Crayon angels";"Lady-O";1705560996;1705561190;"https://music.apple.com/fr/album/lady-o/1608329187?i=1608329612&uo=4";;1971;"ASYL";"https://www.deezer.com/track/1100753142";
"Yana Boukoff";"Viva España";"Canciones populares espanõlas - pour voix et guitare : Jota";1705561186;1705561396;;;2009;"LORELEY PROD";;
"Leo Sidran";"Mucho leo";"Speak to me in spanish";1705561395;1705561629;;"https://open.spotify.com/track/0JhrmfqAsCSnRV3lVxkxAd";2015;"BONSAI MUSIC";;
"Vulfpeck";"Schvitz";"Sauna";1705561627;1705561826;;"https://open.spotify.com/track/1DSl7kRrdWhwntiK6HOLVY";2022;"VULF RECORDS";;
"Prince";"Prince";"Sexy dancer";1705561819;1705562077;"https://music.apple.com/fr/album/sexy-dancer/332667239?i=332667521&uo=4";"https://open.spotify.com/track/62swKfU8FW7mUMjsYzX7O4";1979;"WB RECORDS";"https://www.deezer.com/track/4288237";
"Sweatson Klank";"A free mind";"Driftwood";1705562075;1705562279;;"https://open.spotify.com/track/4HTDAcB16wLrqw0u1Bv1AK";2023;"FRIENDS OF FRIENDS";;
"Emilio Santiago";"Culture of soul present : The brasileiro treasure box of funk & soul";"Bananeira";1705562278;1705562448;"https://music.apple.com/fr/album/bananeira/1499864391?i=1499864869&uo=4";;1975;"CULTURES OF SOUL";;
"The Little Big Horns";"Ultra-lounge, on the rocks, part one";"Get Back";1705562445;1705562591;;;1969;"EMI";;
"Olivia Flowers";"Incandescence";"The Light";1705562581;1705562838;;;2018;;;
"Sandra Nkake";"Scars";"Nos voix";1705562838;1705563112;;"https://open.spotify.com/track/1NXGRNlTtg8PlcImZGg5Dj";2023;"PIAS LE LABEL";"https://www.deezer.com/track/2218571357";
