"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Okvsho";"A place between us";"Soulé";2024;"CURRENT MOVES";1710277108;1710277202;;"https://open.spotify.com/track/2j87NREnZw3PL7cfTUn9ct";
"Sebastien Tellier";"Politics";"La ritournelle";2004;"SOURCE";1710277530;1710277983;;"https://open.spotify.com/track/0qG1teoBvooRo7Z5Z8edCk";"https://music.apple.com/fr/album/la-ritournelle/677339901?i=677339981&uo=4"
"Clara Nunes";"Clara Nunes";"A Favorita";1971;"EMI";1710277976;1710278159;;;
"Criolo";"No na orelha";"Subirusdoistiozin";2012;"STERNS BRASIL";1710278156;1710278367;"https://www.deezer.com/track/2307921655";;
"Stuart Zender";"Happy feelings (feat. Omar & Ana Tijoux)";"Happy feelings (feat. Omar & Ana Tijoux)";2023;"UIM MUSIC";1710278366;1710278612;;;"https://music.apple.com/fr/album/happy-feelings-feat-omar-ana-tijoux/1678295666?i=1678295667&uo=4"
"Kiledjian";"The otium mixtape";"Post Trama";2024;"UNDERDOG RECORDS";1710278618;1710278747;"https://www.deezer.com/track/2522495291";"https://open.spotify.com/track/7FfFoPW8mPuUviYgLSOqpr";"https://music.apple.com/fr/album/post-trama/1714815918?i=1714817329&uo=4"
"MC Solaar";"Ils dansent";"Ils dansent";2024;"PLAY TWO";1710278745;1710278891;"https://www.deezer.com/track/2656274802";"https://open.spotify.com/track/3VRQ95U3wwWqIIO3UzfW5T";"https://music.apple.com/fr/album/ils-dansent/1730072585?i=1730072900&uo=4"
"Kishore Kumar";"Bombay disco : Disco hits from Hindi films / 1979 -1985";"Disco ' 82";1982;"CULTURE OF SOUL";1710278889;1710279111;;;
"Jimmy Cliff";"Sound system : the story of jamaican music / CD2";"Miss Jamaica";1962;"ISLAND";1710279110;1710279253;"https://www.deezer.com/track/140778139";;
"Trombone Shorty";"For true";"Mrs. Orléans";2011;"VERVE";1710279251;1710279450;"https://www.deezer.com/track/13506926";"https://open.spotify.com/track/6jvMRjuSLknAuvROjYTCsI";
"Chlorine Free";"Le fish";"Peacock";2014;"DU NOSE";1710279448;1710279690;;"https://open.spotify.com/track/4mH77mALaDfO0Qc4pdxB3a";
"Nana Benz Du Togo";"Ago";"Tite";2023;"KOMOS";1710279694;1710279983;"https://www.deezer.com/track/2245856327";"https://open.spotify.com/track/4ek7yi8jp9AZaoZ3jxRufT";"https://music.apple.com/fr/album/tite/1683632401?i=1683632842&uo=4"
"Sgvo";"VO";"Mmeria";2023;"THEKO ENTERTAINMENT";1710279983;1710280364;;"https://open.spotify.com/track/4hItnmYmUHxtOwiicJEuQ6";
"Bnny";"One million love songs";"Good stuff";2023;"FIRE TALK";1710280358;1710280542;"https://www.deezer.com/track/2577016932";;
"Death In Vegas";"BOF / Lost in translation";"Girls";2003;"EMPEROR NORTON RECORDS";1710280542;1710280805;"https://www.deezer.com/track/599221";;"https://music.apple.com/fr/album/girls/164362427?i=164362476&uo=4"
"Clap";"Le bikini jaune";"Le bikini jaune";2022;"PRESTIGE MONDIAL";1710280830;1710280996;;"https://open.spotify.com/track/0HvoeXeEJ7aFZwxSQjEDkC";
"The Cuphead Jazz Orchestra";"BOF / Cuphead (jeu vidéo)";"Funfair Fever";2019;"IAM8BIT";1710280992;1710281132;;;
"Al Green";"Livin' For You";"Free at last";1973;"CAPITOL";1710281128;1710281332;;"https://open.spotify.com/track/7bIMTRRihD2jt5gK8Gyy4b";
"Death And Vanilla";"Flicker";"Baby snakes";2023;"FIRE RECORDS";1710281326;1710281540;;"https://open.spotify.com/track/5sSbbzneyiujFjGu2IOV1z";
"Woodkid";"Land of fall";"Land of fall (radio edit)";2016;"GREEN UNITED MUSIC";1710281542;1710281793;;;
"Julia Fischer";"Niccolo Paganini : 24 caprices op 1";"Caprice pour violon en mi min op 1 n°15";2010;"DECCA";1710281790;1710281957;;;
"Nina Simone";"Four women : The Nina Simone Philips Recordings";"Trouble in mind";1965;"VERVE";1710281952;1710282112;;"https://open.spotify.com/track/1MBgXSmV94CZZT2dXyctBb";
