"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Helio Matheus";"Helio Matheus";"Marraio";1975;"ATHENS OF THE NORTH";1708007098;1708007282;;"https://open.spotify.com/track/3OVD7YpAFIWJx1ZGz5Em2I";
"Quincy Jones";"Sampled";"Soul bossa nova (original mix)";1962;;1708007275;1708007434;;;
"Elvis Presley";"Platinum a life in music / Succes de 1954 a 1977";"Bossa nova baby (alternate take)";1963;"RCA";1708007432;1708007562;;;
"Robert Finley";"Goin' Platinum";"Medicine woman";2017;"EASY EYE SOUND";1708007559;1708007716;;"https://open.spotify.com/track/3S9rZU1GDPhs8WNDv5HQSs";
"Manu Dibango";"Anthology";"Doctor bird";1980;"SONO";1708007713;1708008013;"https://music.apple.com/fr/album/doctor-bird/951315546?i=951315549&uo=4";;"https://www.deezer.com/track/1702276117"
"Shawn Lee";"Moods and grooves";"Laurel canyon";2005;"UBIQUITY";1708008012;1708008148;"https://music.apple.com/fr/album/laurel-canyon/1517130920?i=1517131275&uo=4";"https://open.spotify.com/track/6cxTGlQRrT5ZNlsNF3dMen";
"Dengue Fever";"Ting mong";"Room 720";2023;"TUK TUK RECORDS";1708008147;1708008399;"https://music.apple.com/fr/album/room-720/1686636948?i=1686637581&uo=4";"https://open.spotify.com/track/5le2uqQVaqS6GXDgYVHh8c";
"Bastien Lallemant";"Le verger";"La chambre secrète";2010;"LAUTRE";1708008394;1708008668;"https://music.apple.com/fr/album/la-chambre-secr%C3%A8te/365501194?i=365501404&uo=4";"https://open.spotify.com/track/0H4VxGm14khqxFiLjtbnJP";
"Orchestre De Padoue Et De Venetie";"Alkan : Concerti da camera et musique pour piano seul";"Concerto da camera en ut dièse min op 10 n°2 : 1. Allegro moderato - pour piano et orchestre à cordes";2017;"PIANO CLASSICS";1708008664;1708008827;;;
"Leonard Cohen";"I'm your man";"Take this waltz";1988;"CBS";1708008825;1708009180;;"https://open.spotify.com/track/59BwHvrOj0amgz17FgDn1C";
