"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Lenny Kravitz";"5";"I belong to you";"1998";"VIRGIN";1742376416;1742376671;"https://music.apple.com/fr/album/i-belong-to-you/723419586?i=723419704&uo=4";"https://www.deezer.com/track/3156963";"https://open.spotify.com/track/02UjN28wB5uyeqUhZTiuZ2"
"Candice Ivory";"When the levee breaks: the music of Memphis Minnie";"World of trouble";"2023";"LITTLE VILLAGE";1742376662;1742376931;;"https://www.deezer.com/track/2367448415";"https://open.spotify.com/track/6aKEhqBx2Y7njJtHkbzxa1"
"Panda Bear";"Sinister grif";"Venom's in";"2025";"DOMINO";1742376929;1742377220;"https://music.apple.com/fr/album/venoms-in/1761198973?i=1761199165&uo=4";"https://www.deezer.com/track/3001194971";"https://open.spotify.com/track/615u2jmS82Kj2SFPC4uXg2"
"Medline";"The edge";"Coffee cold";"2025";"MY BAGS";1742377215;1742377460;"https://music.apple.com/fr/album/coffee-cold/1792831815?i=1792832514&uo=4";"https://www.deezer.com/track/3204814991";
"After Berlin";"Snobby Party People";"Snobby party people";"2025";"AFTBR GALAXY";1742377458;1742377690;"https://music.apple.com/fr/album/snobby-party-people/1787976082?i=1787976083&uo=4";;"https://open.spotify.com/track/6KgZZ3h94LR8t2OIdDZFyj"
"Roberto Cicogna";"Saluti da parì";"Via Cappuccio";"2024";"AAKI PUBLISHING";1742377689;1742377914;;"https://www.deezer.com/track/2593549742";"https://open.spotify.com/track/4vMJpi5y5LAHQmCqGhzxko"
"Damu The Fudgemunk";"Peace of action";"Dot matrix";"2024";"DEF PRESSE";1742377911;1742378147;"https://music.apple.com/fr/album/dot-matrix/1765706162?i=1765706421&uo=4";"https://www.deezer.com/track/2972994851";"https://open.spotify.com/track/1wusW54pUW5B4PEM072EsI"
"Comme John";"Nuit blanche";"French riviera";"2025";"LABELDIFF43";1742378118;1742378315;"https://music.apple.com/fr/album/french-riviera/1781906546?i=1781906694&uo=4";"https://www.deezer.com/track/3112774241";"https://open.spotify.com/track/2u4UOIqg2jAXl2kG5428BK"
"Pomplamoose";"Best of 2018";"Maneater";"2018";"";1742378312;1742378491;"https://music.apple.com/fr/album/maneater/1442917471?i=1442917611&uo=4";"https://www.deezer.com/track/641671732";"https://open.spotify.com/track/2EJA9abGhJeEi2gCd3lAIr"
"On-Ly";"Wonderlust";"BU Kno";"2024";"LA SAPE";1742378488;1742378784;;;
"Melissa Weikart";"Easy";"Running in the rain";"2025";"AUTOPRODUCTION";1742378780;1742378934;"https://music.apple.com/fr/album/running-in-the-rain/1777221299?i=1777221310&uo=4";"https://www.deezer.com/track/3068240011";"https://open.spotify.com/track/3W77N1CzJHCFsWyrDY5Jfs"
"Alon Abutbul";"Potion of love";"Potion of love";"2025";"RAW TAPES";1742378931;1742379122;;;
"Fairouz";"The very best of Fairouz";"Ya ana ya ana";"1987";"LA VOIX DE L'ORIENT";1742379119;1742379258;;;
"Orchestre Mozart";"Wolfgang Amadeus Mozart : Symphonies n°39 et 40";"Symphonie n°40 en sol min K 550 : Menuet - Trio";"2011";"DEUTSCHE GRAMMOPHON";1742379257;1742379495;;;
"Charles Aznavour";"Qui?";"O ! toi la vie";"1995";"EMI";1742379493;1742379635;;;
"Astrud Gilberto";"This is Astrud Gilberto";"Fly me to the moon";"1964";"VERVE";1742379634;1742379772;;"https://www.deezer.com/track/538572392";
"Francis Lai";"Festival de Cannes 60ème anniversaire";"Un Homme et une Femme (instrumental)";"2007";"NAIVE";1742379773;1742379931;;"https://www.deezer.com/track/49634641";
"Jenya Kukoverov";"According to the map";"Soleil du soir à Montsouris";"2025";"AUTOPRODUCTION";1742379931;1742380098;;;
