"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Danger Zone";"Introducing";"A boy from Texas";2023;"GAYA MUSIC PRODUCTION";1704722778;1704722952;;;;
"Vicente Archer";"Bye Nashville";"Bye Nashville";2023;"CELLAR LIVE";1704722946;1704723236;;;"https://open.spotify.com/track/4RU7KcICGYM1pNYo1LtS9x";
"Marion Rampal";"Don't think twice it's alright";"Don't think twice it's alright";2023;"LES RIVIERES SOUTERRAINES";1704723229;1704723466;;;;
"Jef Lee Johnson Band";"The zimmermann shadown";"Knockin' on heaven's door";2009;"HOPE STREET";1704723464;1704723629;;;;
"Stan Getz";"The worlds of Stan Getz : The complete Columbia album collection/The best of two worlds / Vol. 2";"Aguas de Março (Waters of March)";1976;"COLUMBIA";1704723626;1704723908;;;;
"Alain Jean-Marie";"Pensativa";"Ela e carioca";2019;"L2MG";1704723900;1704724127;"https://music.apple.com/fr/album/ela-e-carioca/1481235158?i=1481235630&uo=4";;"https://open.spotify.com/track/31aWVKVwZVsp5bI8BdRQfI";
"Cecile McLorin Salvant";"Mélusine";"Doudou";2023;"NONESUCH";1704724122;1704724453;"https://music.apple.com/fr/album/doudou/1659958113?i=1659958125&uo=4";;"https://open.spotify.com/track/2RiwAzpCt0b7V68HZ2WjnT";
"Jacques Schwarz-Bart";"The Harlem Suite";"Butterfly (feat. Malika Tirolien)";2023;"Ropeadope Records";1704724453;1704724787;"https://music.apple.com/fr/album/butterfly-feat-malika-tirolien/1682222125?i=1682222416&uo=4";"https://www.deezer.com/track/2236904487";"https://open.spotify.com/track/3gCsHw7AkeI5qIGGK0DXEm";
"Hermon Mehari";"Menace : In Sync";"Samus";2023;"MENACE";1704724783;1704725050;;"https://www.deezer.com/track/2305058795";"https://open.spotify.com/track/21otMUUCjrb2W1oGR3a6k6";
"Miles Davis";"Complete """"In a silent way"""" sessions";"In a silent way";1969;"COLUMBIA";1704725047;1704725302;"https://music.apple.com/fr/album/in-a-silent-way-lp-mix/193603857?i=193604625&uo=4";;"https://open.spotify.com/track/54a3lHJAwce1dOKrsDPEHv";
"Sachal Vasandani & Romain Collin";"Still life";"Blue In Green";2022;"EDITION";1704725295;1704725517;"https://music.apple.com/fr/album/blue-in-green/1614870738?i=1614871164&uo=4";;;
"Horace Parlan";"The maestro";"Nardis";1982;"STEEPLE CHASE";1704725509;1704725827;;;;
"Billie Holiday";"Songs for distingue lovers";"Let's call the whole thing off";1957;"VERVE";1704725815;1704726018;"https://music.apple.com/fr/album/lets-call-the-whole-thing-off/1469586500?i=1469586661&uo=4";;"https://open.spotify.com/track/7vmypkCvYIYxj3OAm0eJ8f";
"Thomas Gomez";"Out for delivery";"My Old Flame";2023;"ZOOT RECORDS";1704726020;1704726314;;;"https://open.spotify.com/track/7A9DD3YVERwtRShHf7armS";
"Bill Potts (Chef d'orchestre)";"The jazz soul of Porgy and Bess";"Oh lawd I'm on my way";1959;"FRESH SOUND RECORDS";1704726313;1704726514;;;;
"Pete Candoli";"Johnny Williams : Rhythm in motion / So nice ! With Johnny Desmond";"It ain't necessarily so";1958;"BLUE MOON";1704726513;1704726650;;;;
"Erik Truffaz";"Rollin'";"Thème de Fantômas";2023;"BLUE NOTE";1704726648;1704726896;"https://music.apple.com/fr/album/th%C3%A8me-de-fant%C3%B4mas/1671502618?i=1671502820&uo=4";;"https://open.spotify.com/track/1S4jNuqapTRkck7ritMIxM";
"Leland Whitty";"Anyhow";"Svalbard";2022;"INNOVATIVE LEISURE";1704726893;1704727039;"https://music.apple.com/fr/album/svalbard/1649997916?i=1649997918&uo=4";;"https://open.spotify.com/track/2U6G4Xj7Uekfilhu6tvxCK";
"Madison McFerrin";"You + I";"Unwise";2020;"AUTOPRODUCTION";1704727036;1704727254;;;;
"Bobby McFerrin";"Bang ! zoom";"Bang ! zoom";1995;"BLUENOTE";1704727245;1704727576;;;;
"Chick Corea";"Friends";"Sicily";1978;"POLYDOR";1704727568;1704727946;"https://music.apple.com/fr/album/sicily/1443607219?i=1443607833&uo=4";"https://www.deezer.com/track/2303537";"https://open.spotify.com/track/7iEo53Bn2gqwMsUOZbvszw";
"Kenny Barron";"Sambao";"Sambao";1992;"EMARCY";1704727947;1704728318;"https://music.apple.com/fr/album/sambao/1445889928?i=1445889932&uo=4";;;
"Gal Costa";"Cantar";"Até quem sabe";1974;"PHILIPS";1704728312;1704728534;"https://music.apple.com/fr/album/at%C3%A9-quem-sabe/1443737145?i=1443737167&uo=4";;"https://open.spotify.com/track/4jP4qcHXRE4FQOvPJNzpoW";
"David El Malek";"Travelling";"If I Could";2023;"Sunset";1704728529;1704728780;;"https://www.deezer.com/track/2178305227";"https://open.spotify.com/track/0ROpeJPmgUaoDh0Pg8ISCq";
"Lester Young";"Pres and Teddy";"Louise";1956;"Verve";1704728772;1704729086;;;;
"Snorre Kirk";"Top dog";"Showtime";2023;"STUNT";1704729084;1704729331;"https://music.apple.com/fr/album/showtime/1673035668?i=1673036754&uo=4";;"https://open.spotify.com/track/0RFZf7wBim69RI1zuDNKwd";
"Teodross Avery";"My generation";"My generation";1996;"IMPULSE";1704729324;1704729629;;;"https://open.spotify.com/track/3fpp8sPd1z3y5WTx87sOYi";
"Leo Sidran";"What's trending";"Crazy people";2023;"BONSAI MUSIC";1704729629;1704729842;;;"https://open.spotify.com/track/6AU5VbqBUhRvMUvUVYtAtW";
"The Brecker Brothers";"The Brecker bros";"Some skunk funk";1973;"SONY BMG";1704729841;1704730190;;"https://www.deezer.com/track/1093323";;
"Idris Muhammad";"Power of soul";"Loran's dance";1974;"CTI RECORDS";1704730189;1704730822;"https://music.apple.com/fr/album/lorans-dance/298170730?i=298171025&uo=4";;"https://open.spotify.com/track/21MdP1zGqerRKUmfvsoWQJ";
"Rickie Lee Jones";"Pieces of treasure";"Just in time";2023;"BMG MODERN RECORDINGS";1704730813;1704731001;"https://music.apple.com/fr/album/just-in-time/1659495694?i=1659495695&uo=4";;"https://open.spotify.com/track/3dLkIX8mI7LyXXb0RxiX9t";
"Rachael & Vilray";"I love a love song !";"Join me in a dream";2023;"NONESUCH RECORDS";1704730995;1704731206;"https://music.apple.com/fr/album/join-me-in-a-dream/1651972199?i=1651972206&uo=4";;"https://open.spotify.com/track/7uNgFlcMfpYMt3bbqREIE3";
"Anita O Day";"Time for 2";"That's your red wagon";1962;"VERVE";1704731205;1704731371;;;;
"Tito Puente";"The best of the Concord years";"Tokyo Blues";1993;"CONCORD JAZZ";1704731371;1704731686;"https://music.apple.com/fr/album/tokyo-blues/1445667581?i=1445668029&uo=4";;"https://open.spotify.com/track/6vzLOCsz0ZflhROzdxNgcz";
"Laurent De Wilde Trio";"Life is a Movie";"Back on the beat";2023;"Gazebo";1704731684;1704731994;;;;
"Ian Shaw";"Shine sister shine";"I don't know enough about you";2017;"JAZZ VILLAGE";1704731993;1704732216;;;;
"Mal Waldron";"Jazz Magazine-Jazzman / L'âge d'or du jazz";"Jm’s dream doll";1958;"WAGRAM MUSIC";1704732216;1704732473;"https://music.apple.com/fr/album/jms-dream-doll/762842888?i=762842899&uo=4";;;
"Brandee Younger";"Brand new life";"You're A Girl For One Man Only";2023;"DECCA RECORDS";1704732471;1704732707;"https://music.apple.com/fr/album/youre-a-girl-for-one-man-only/1671212000?i=1671212023&uo=4";"https://www.deezer.com/track/2216973247";"https://open.spotify.com/track/37WFMGHPub9UjUlN0y6XoA";
"Bjork";"Debut";"Like someone in love";1993;"ISLAND";1704732702;1704732974;"https://music.apple.com/fr/album/like-someone-in-love/1396001351?i=1396001749&uo=4";;"https://open.spotify.com/track/0eDVClItJH4PkfPu7dciKP";
"The Rongetz Foundation";"Kiss kiss double jab";"Knocked down";2015;;1704732967;1704733200;"https://music.apple.com/fr/album/knocked-down/953032245?i=953032267&uo=4";"https://www.deezer.com/track/478077382";"https://open.spotify.com/track/4KzUfiMPIxjI4OdNdhsELb";
"Jeremy Pelt";"The art of intimacy / Vol. 2: His muse";"Two for the road (feat. Chico Pinheiro)";2023;"HIGHNOTE RECORDS";1704733200;1704733466;;;;
"Robin Mansanti";"Nuit américaine";"L'étang";2023;"LP345";1704733464;1704733627;"https://music.apple.com/fr/album/l%C3%A9tang/1668145502?i=1668145510&uo=4";"https://www.deezer.com/track/2125364787";"https://open.spotify.com/track/1pIrbUqRhM4fDfkaqiR8P5";
"Django Reinhardt";"Pêche à la mouche/The great Blue Star sessions 1947- 1953";"Insensiblement";1953;"VERVE";1704733624;1704733809;;;;
"Henri Renaud Et Son Orchestre";"Jazz in Paris - En remontant les Champs-Elysées";"Venez donc chez moi";1952;"UNIVERSAL";1704733807;1704734079;;;;
"Ethan Philion";"Meditations on Mingus";"Prayer for passive resistance";2022;"SUNNYSIDE";1704734072;1704734461;"https://music.apple.com/fr/album/prayer-for-passive-resistance/1633532033?i=1633532040&uo=4";;"https://open.spotify.com/track/2VdrDH4eqMfFI0ILB1jPj3";
"Karrin Allyson Sextet";"Shoulder to shoulder (centennial tribute to women’s suffrage)";"I’ll be no submissive wife";2019;"EONE MUSIC";1704734461;1704734670;;;;
"John Coltrane";"This is John Coltrane";"Impressions";1964;"DECCA";1704734668;1704734941;;"https://www.deezer.com/track/1238863202";;
"Kurt Elling";"Dedicated to you/Kurt Elling sings the music of Coltrane and Hartman";"All or nothing at all";2009;"CONCERD";1704734937;1704735331;"https://music.apple.com/fr/album/all-or-nothing-at-all-live/1443166928?i=1443167097&uo=4";;;
"Yo Yo Ma";"Obrigado Brazil";"Chega De Saudade";2009;"SONY CLASSICAL";1704735331;1704735582;;;;
"Leonardo Montana";"A flor da pele";"Forrobodo";2022;"PARADIS IMPROVISE";1704735576;1704735926;"https://music.apple.com/fr/album/forr%C3%B3bod%C3%B3/1647445038?i=1647445062&uo=4";;"https://open.spotify.com/track/4dgxkDpFzSBahPSIbrOI4w";
"Sullivan Fortner (Piano)";"Moments preserved";"New port";2018;"IMPULSE";1704735921;1704736146;"https://music.apple.com/fr/album/new-port/1370838437?i=1370839793&uo=4";;"https://open.spotify.com/track/5YWm6QKrt8uItxhFnNe3YW";
"Roy Haynes";"A life in time";"Snap crackle";1962;"DREYFUS";1704736145;1704736388;"https://music.apple.com/fr/album/snap-crackle/552759940?i=552760078&uo=4";;;
