"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Hank Jones Trio";"Arigato";"Arigato";1977;"PROGRESSIVE RECORDS";1705558496;1705558666;;;
"Aaron Parks";"Invisible cinema";"Travelers";2008;"BLUENOTE";1705558664;1705558986;"https://music.apple.com/fr/album/travelers/715933248?i=715933404&uo=4";"https://open.spotify.com/track/5vRHlju25fl2hY0IPwTLbS";"https://www.deezer.com/track/3367239"
"Fletcher Henderson";"Fletcher Henderson : 1925 to 1928";"Come on baby";1928;"RADIO ANGLAISE (BBC)";1705558983;1705559156;;;
"Marquis Hill";"Modern Flows / Vol. 2";"Twin flame";2018;"BLACK UNLIMITED MUSIC GROUP";1705559153;1705559507;"https://music.apple.com/fr/album/twin-flame/1439819696?i=1439819698&uo=4";"https://open.spotify.com/track/447qkwkOJyIj8X3vwp1WWh";
"The Jazz Crusaders";"Old socks new shoes new socks old shoes";"Jackson";1970;"VERVE";1705559508;1705559661;;;
"Fay Claassen";"Sings two portraits of Chet Baker / Vol. 2";"Almost Blue";2009;"JAZZ N PULZ (JAZZ IMPULS)";1705559658;1705559984;;;
"Carmell Jones";"The Harold Land Carmell Jones quintets";"Night tide";1961;"LONEHILLJAZZ";1705559981;1705560221;"https://music.apple.com/fr/album/night-tide/869276272?i=869276287&uo=4";"https://open.spotify.com/track/0wfDqXCBxqu0osq5g0Hy15";"https://www.deezer.com/track/12244685"
"Baptiste Trotignon";"For a while";"Children song";2011;"NAIVE RECORD";1705560219;1705560470;;"https://open.spotify.com/track/7szMAPgg1epz09kng1tReC";
"Jack Teagarden";"Jazz archives Jack Teagarden vol. I";"Basin street blues";1930;"EPM RECORDS";1705560464;1705560660;;;
"Cedar Walton Quintet";"Cedar's blues : Cedar Walton quintet live";"Insight";1985;"RED RECORD";1705560657;1705561076;;;
"Shirley Horn";"Travelin' light";"You're blase";1965;"IMPULSE";1705561072;1705561211;;"https://open.spotify.com/track/5x2MAWu348u2VORSKTEEGW";
"Julien Lourau";"Power of soul";"Dont mess with Mr T.";2021;"KOMOS";1705561212;1705561493;;;
"The Jimmy Heath Sextet";"The Quota / Triple Threat";"Gemini";1962;"Fresh Sound";1705561492;1705561861;;;
