"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Dylan Ryan";"Sand / Sky bleached";"Translucent spheres";2013;"CUNEIFORM RECORDS";1711718375;1711718676;;;
"Annie Ross";"Sings a song with Mulligan";"Give me the simple life";1957;"EMI";1711718673;1711718885;;;
"Magnus Ostrom";"Searching For Jupiter";"Mary Jane doesn't live here anymore";2013;"ACT";1711718885;1711719139;"https://music.apple.com/fr/album/mary-jane-doesnt-live-here-anymore/690047415?i=690048211&uo=4";;"https://open.spotify.com/track/3SaWkXfRIrGgFw2ro7yWDz"
"Grant Green";"Iron city";"Iron city";1972;"CONCORD";1711719135;1711719435;;"https://www.deezer.com/track/7669347";
"Diana Krall";"From this moment on";"Come dance with me";2006;"VERVE";1711719431;1711719692;"https://music.apple.com/fr/album/come-dance-with-me/1443177535?i=1443177821&uo=4";"https://www.deezer.com/track/2309850";"https://open.spotify.com/track/0gzBvwhlq94seWBjW6aGAE"
"Tadd Dameron Sextet";"BD Music presents Fats Navarro";"Lady Bird";1948;"BDMusic";1711719689;1711719859;;;
"Terence Blanchard";"Flow";"Child's play";2005;"BLUENOTE";1711719858;1711720219;"https://music.apple.com/fr/album/childs-play/1443133403?i=1443134261&uo=4";"https://www.deezer.com/track/3255299";"https://open.spotify.com/track/634UCmerMOTR5VSoYnq1HR"
"Herb Geller";"An American in Hamburg";"The Power of a Smile";2013;"Tramp";1711720213;1711720798;;;
"Samy Thiebault";"Awé !";"The sooner the better";2021;"Gaya";1711720798;1711721131;;;
"Johnny Griffin";"Jazz Magazine-Jazzman / L'âge d'or du jazz";"Soft and furry";1961;"WAGRAM MUSIC";1711721130;1711721348;"https://music.apple.com/fr/album/soft-and-furry/931954633?i=931963963&uo=4";;"https://open.spotify.com/track/58tYsVMG7jgBf7m5AXoXCY"
"Allen Toussaint";"Songbook";"Lipstick traces";2013;"ROUNDER";1711721346;1711721465;"https://music.apple.com/fr/album/lipstick-traces/1442937904?i=1442938091&uo=4";"https://www.deezer.com/track/70561779";"https://open.spotify.com/track/2x3rFVjv1LAv9n9GILXwnC"
"Marcus Roberts";"As serenity approaches";"Slippin' and slidin'";1992;"BMG";1711721461;1711721628;;;
"Brady Winterstein (Guitare)";"Happy together";"Suicide is painless";2011;"PLUS LOIN MU";1711721626;1711721854;;;
"Sathima Bea Benjamin";"A morning in Paris";"Your love has faded";1963;"ENJA";1711721850;1711722007;;"https://www.deezer.com/track/11378912";
